,w_model,baseline
395,3.5600000000000005,2.5899999999999994
396,3.7100000000000004,2.8
397,2.0500000000000003,3.3299999999999996
398,3.5700000000000003,4.61
399,4.0,3.6500000000000004
400,2.7,3.3099999999999996
401,3.1900000000000004,3.7
402,2.1800000000000006,3.2099999999999995
403,1.9,3.7099999999999995
404,3.5700000000000003,4.340000000000001
405,3.5,1.88
406,4.8,2.0
407,5.1,1.33
408,5.090000000000001,4.11
409,2.9,2.7499999999999996
410,4.53,2.6
411,3.3300000000000005,0.5800000000000001
412,2.3200000000000003,2.2300000000000004
413,3.7,4.99
414,3.2,4.06
415,1.8499999999999999,4.5
416,1.29,2.4100000000000006
417,3.8600000000000003,4.21
418,1.42,1.49
419,2.9,1.4
420,3.6600000000000006,4.470000000000001
421,2.6000000000000005,2.9
422,0.9,2.5800000000000005
423,2.1200000000000006,3.53
424,0.7,4.16
425,2.2,3.2700000000000005
426,3.3300000000000005,2.9
427,4.7,3.7700000000000005
428,3.7700000000000005,4.6000000000000005
429,2.6,0.38
430,0.9,5.54
431,3.7500000000000004,1.11
432,4.03,0.9
433,4.99,1.26
434,4.4,2.7199999999999998
435,3.3,3.1
436,4.82,4.09
437,2.9,4.6000000000000005
438,3.9100000000000006,1.93
439,2.2,2.9200000000000004
440,3.9,4.88
441,2.4,2.4999999999999996
442,0.7,3.78
443,3.7100000000000004,4.48
444,0.8,3.7299999999999995
445,4.08,0.35
446,1.77,0.9
447,2.3200000000000003,4.88
448,3.7,2.4999999999999996
449,2.5,4.449999999999999
450,2.5700000000000003,3.8
451,3.95,3.6300000000000003
452,3.4100000000000006,2.7499999999999996
453,5.5,2.3400000000000003
454,4.5,1.1300000000000001
455,1.8,4.130000000000001
456,1.6199999999999999,3.3700000000000006
457,1.0,3.8999999999999995
458,3.2,1.27
459,3.5,2.6899999999999995
460,2.1000000000000005,3.8
461,3.95,3.9599999999999995
